chapter,item_count,avg_rate,max_rate,min_rate,free_items,ad_valorem_items,specific_items,other_items
24,67,114.18636363636364,350.0,0.9,20,22,25,0
12,74,58.07000000000001,163.8,1.4,34,10,30,0
64,147,17.16328125,48.0,2.5,19,128,0,0
45,19,14.0,14.0,14.0,18,1,0,0
61,252,12.473043478260866,32.0,0.6,12,230,0,10
04,259,12.468181818181819,25.0,1.1,2,132,125,0
22,76,11.883333333333335,17.5,1.9,34,6,34,2
55,133,11.508870967741935,25.0,4.3,9,124,0,0
54,131,11.381355932203391,25.0,2.7,13,118,0,0
19,80,11.366666666666667,17.5,1.1,10,66,4,0
20,184,11.191752577319587,131.8,0.8,14,97,73,0
62,395,11.156198347107438,28.6,0.5,21,363,0,11
07,192,11.053488372093021,29.8,1.3,20,86,86,0
60,60,10.271186440677965,18.5,4.0,1,59,0,0
42,89,9.885,20.0,1.8,9,80,0,0
51,101,9.431746031746032,25.0,0.4,29,63,9,0
02,111,9.35277777777778,26.4,2.3,20,36,55,0
08,133,9.228124999999999,29.8,0.8,28,32,73,0
69,82,9.181666666666667,28.0,0.7,22,60,0,0
52,233,9.179710144927537,16.5,3.0,15,207,11,0
58,72,9.137254901960784,20.2,2.7,16,51,0,5
21,90,8.933333333333332,20.0,1.9,8,63,17,2
53,31,8.514285714285714,14.5,2.7,23,7,1,0
70,198,8.10354609929078,38.0,0.4,53,141,4,0
63,99,7.905952380952381,20.9,2.5,14,84,1,0
67,13,7.414285714285714,17.0,3.4,6,7,0,0
66,8,7.18,12.0,4.0,3,5,0,0
17,70,6.782926829268292,12.2,4.0,2,41,27,0
56,55,6.686486486486487,14.1,2.7,18,37,0,0
16,117,6.608620689655172,35.0,1.4,50,58,9,0
18,78,6.5953124999999995,10.0,2.0,7,64,7,0
65,29,6.554545454545456,10.3,1.4,7,22,0,0
15,78,6.400000000000001,19.1,2.3,17,24,37,0
27,76,6.25,12.5,3.0,41,10,25,0
30,60,6.2,10.4,4.2,54,5,1,0
46,48,6.137142857142858,18.0,2.3,13,35,0,0
96,127,6.054166666666667,32.0,1.3,26,96,2,3
86,32,5.960869565217391,14.0,0.4,9,23,0,0
87,212,5.802654867256638,25.0,1.4,99,113,0,0
11,38,5.7071428571428555,12.8,0.5,5,14,19,0
29,1051,5.5178525226390684,6.5,1.0,277,773,1,0
71,108,5.489830508474575,13.5,2.1,49,59,0,0
94,110,5.48235294117647,12.8,2.6,59,51,0,0
32,107,5.223563218390805,6.5,1.3,20,87,0,0
39,236,5.221844660194174,6.5,2.1,30,206,0,0
91,174,5.214285714285714,14.0,1.8,19,140,13,2
82,135,5.20989010989011,15.8,1.6,39,91,0,5
57,50,5.15,8.0,2.7,20,30,0,0
44,263,5.102857142857142,10.7,1.5,156,105,2,0
81,74,5.092,15.0,1.2,24,50,0,0
38,182,5.071739130434783,6.5,0.1,44,138,0,0
03,279,5.0,15.0,0.5,234,38,7,0
59,59,4.94864864864865,14.1,2.6,22,37,0,0
73,250,4.801724137931035,12.5,1.5,192,58,0,0
95,85,4.673529411764705,9.2,2.6,50,34,1,0
06,31,4.482352941176471,7.0,1.4,6,17,8,0
92,41,4.3961538461538465,8.7,2.6,15,26,0,0
68,68,4.328571428571428,9.0,1.9,40,28,0,0
34,41,4.0625,6.5,0.2,17,24,0,0
76,65,4.054237288135593,6.5,1.5,6,59,0,0
09,57,3.9999999999999996,6.4,1.9,41,7,9,0
83,59,3.963636363636364,7.5,2.0,15,44,0,0
23,35,3.928571428571428,7.5,1.4,11,14,10,0
40,142,3.917241379310344,14.0,1.9,55,87,0,0
33,43,3.711764705882353,6.0,1.1,26,17,0,0
90,302,3.6884146341463415,16.0,0.8,217,82,0,3
93,33,3.666666666666667,5.7,2.6,18,15,0,0
72,262,3.6318181818181823,10.0,1.1,240,22,0,0
85,624,3.6045801526717556,15.0,1.3,362,262,0,0
35,24,3.583333333333334,6.5,1.5,7,12,5,0
84,824,3.576073619631902,9.9,1.0,498,326,0,0
26,48,3.533333333333333,5.0,1.8,38,3,7,0
28,274,3.5309278350515463,5.5,0.1,80,194,0,0
37,37,3.4875000000000003,3.7,1.4,13,24,0,0
01,37,3.328571428571429,6.8,1.8,19,7,11,0
43,21,3.3133333333333335,6.5,1.5,6,15,0,0
36,16,3.2624999999999997,6.5,0.2,4,12,0,0
41,121,3.172340425531916,5.0,1.6,27,94,0,0
10,30,3.066666666666667,11.2,1.1,6,6,18,0
88,28,3.0,3.0,3.0,27,1,0,0
14,11,2.9750000000000005,4.4,2.0,5,4,2,0
25,79,2.957142857142857,3.0,2.8,71,7,1,0
79,13,2.8,4.2,1.5,1,10,2,0
75,28,2.7636363636363637,3.0,2.0,6,22,0,0
80,10,2.642857142857143,3.0,2.1,3,7,0,0
05,21,2.5799999999999996,5.1,1.1,15,5,1,0
50,13,2.38,3.9,0.8,8,5,0,0
78,11,2.3777777777777778,3.0,1.2,2,9,0,0
74,89,2.376923076923077,3.0,1.0,11,78,0,0
13,14,2.06,3.8,1.0,8,5,1,0
89,32,1.7066666666666666,2.7,1.0,17,15,0,0
98,155,1.45,5.5,0.5,116,10,0,29
31,24,0.0,0.0,0.0,24,0,0,0
48,225,0.0,0.0,0.0,225,0,0,0
47,21,0.0,0.0,0.0,21,0,0,0
49,29,0.0,0.0,0.0,29,0,0,0
97,19,0.0,0.0,0.0,19,0,0,0
